"japanese","english","context","notes"
"男","M","Gender selection","JP:2 EN:1 - null-terminated only"
"女","F","Gender selection","JP:2 EN:1 - null-terminated only"
"愛","<3","Fav word - Love","JP:2 EN:2 - null-terminated only"
"バツ","Btsu","","JP:4 - moved from 1st_read_strings.csv"
"ロイ","Roy","","JP:4 - moved from 1st_read_strings.csv"
"将馬","Shma","","JP:4 - moved from 1st_read_strings.csv"
"ザキ","Zaki","","JP:4 - moved from 1st_read_strings.csv"
"英雄","Eiyu","","JP:4 - moved from 1st_read_strings.csv"
"響子","Kyoko","","JP:4 - moved from 1st_read_strings.csv"
"雷蔵","Raizo","","JP:4 - moved from 1st_read_strings.csv"
"もも","Momo","","JP:4 - moved from 1st_read_strings.csv"
"隼人","Hayt","","JP:4 - moved from 1st_read_strings.csv"
"流","NG","","JP:2 - moved from 1st_read_strings.csv"
"九郎","Kuro","","JP:4 - moved from 1st_read_strings.csv"
"雹","HL","","JP:2 - moved from 1st_read_strings.csv"
"はい","Yes","","JP:4 - moved from 1st_read_strings.csv"
"恭介","Kyosuke","","JP:4 - moved from 1st_read_strings.csv"
"岩","GN","","JP:2 - moved from 1st_read_strings.csv"
"醍醐","Dago","","JP:4 - moved from 1st_read_strings.csv"
"ラン","Ran ","","JP:4 - moved from 1st_read_strings.csv"
"Ｄ雹","D.HL","","JP:4 - moved from 1st_read_strings.csv"
"２人"," 2P","","JP:4 - moved from 1st_read_strings.csv"
"３人"," 3P","","JP:4 - moved from 1st_read_strings.csv"
"４人"," 4P","","JP:4 - moved from 1st_read_strings.csv"
"頭：","Head","Char customize - head","JP:4 - moved from 1st_read_menu.csv"
"目：","Eyes","Char customize - eyes","JP:4 - moved from 1st_read_menu.csv"
"鼻：","Nose","Char customize - nose","JP:4 - moved from 1st_read_menu.csv"
"口：","Face","Char customize - mouth","JP:4 - moved from 1st_read_menu.csv"
"決定","OK","Confirm button","JP:4 - moved from 1st_read_menu.csv"
"権力","Will","Fav word - Power","JP:4 - moved from 1st_read_menu.csv"
"努力","Work","Fav word - Effort","JP:4 - moved from 1st_read_menu.csv"
"逆転","Flip","Fav word - Reversal","JP:4 - moved from 1st_read_menu.csv"
"謙虚","Meek","Fav word - Humility","JP:4 - moved from 1st_read_menu.csv"
"冷酷","Cold","Fav word - Ruthless","JP:4 - moved from 1st_read_menu.csv"
"野性","Wild","Fav word - Wild","JP:4 - moved from 1st_read_menu.csv"
"豪快","Bold","Fav word - Bold","JP:4 - moved from 1st_read_menu.csv"
"卑怯","Sly","Fav word - Cowardly","JP:4 - moved from 1st_read_menu.csv"
"誠実","True","Fav word - Sincere","JP:4 - moved from 1st_read_menu.csv"
"天才","Wise","Fav word - Genius","JP:4 - moved from 1st_read_menu.csv"
"怠惰","Lazy","Fav word - Lazy","JP:4 - moved from 1st_read_menu.csv"
"理性","Cool","Fav word - Reason","JP:4 - moved from 1st_read_menu.csv"
"根性","Guts","Fav word - Guts","JP:4 - moved from 1st_read_menu.csv"
"友情","Bond","Fav word - Affinity","JP:4 - moved from 1st_read_menu.csv"
"対戦"," VS","Main menu - Versus","JP:4 - moved from 1st_read_menu.csv"
"設定","Set","Settings","JP:4 - moved from 1st_read_menu.csv"
"選択","Sel","Selection","JP:4 - moved from 1st_read_menu.csv"
"確認","Chk","Confirm","JP:4 - moved from 1st_read_menu.csv"
