"japanese","english","context","notes"
"普通科","GenEd","Major - Regular course","JP:6 EN:6 EXACT"
"体育科","Sports","Major - P.E. course","JP:6 EN:6 EXACT"
"工業科","Tech","Major - Industrial","JP:6 EN:4 OK (-2)"
"家政科","HomeEc","Major - Home economics","JP:6 EN:6 EXACT"
"芸能科","Arts","Major - Entertainment","JP:6 EN:4 OK (-2)"
"漁夫の利","Profit","Fav word - Opportunist","JP:8 EN:6 OK (-2)"
"アーケード","Arcade","Main menu","JP:10 EN:6 OK (-4)"
"トレーニング","Training","Main menu","JP:12 EN:8 OK (-4)"
"リーグ戦","League","Main menu","JP:8 EN:6 OK (-2)"
"トーナメント","Tournament","Main menu","JP:12 EN:10 OK (-2)"
"オプション","Options","Main menu","JP:10 EN:7 OK (-3)"
"ＥＤＩＴ管理","EDIT Manage","Main menu","JP:12 EN:11 OK (-1)"
"ネットワーク","Network","Main menu","JP:12 EN:7 OK (-5)"
"おまけ","Extra","Main menu - Extras","JP:6 EN:5 OK (-1)"
"ランダム","Random","CPU select","JP:8 EN:6 OK (-2)"
"ロード","Load","CPU select","JP:6 EN:4 OK (-2)"
"データ","Data","Data","JP:6 EN:4 OK (-2)"
"モード","Mode","Mode","JP:6 EN:4 OK (-2)"
"ボタン","Btn","Button","JP:6 EN:3 OK (-3)"
"ゲーム","Game","Game","JP:6 EN:4 OK (-2)"
"ブロック","Block","Block","JP:8 EN:5 OK (-3)"
"ストーリー","Story","Story","JP:10 EN:5 OK (-5)"
"エンディング","Ending","Ending","JP:12 EN:6 OK (-6)"
"パスワード","Pass","Password","JP:10 EN:4 OK (-6)"
"チェック","Check","Check","JP:8 EN:5 OK (-3)"
"パラメータ","Param","Parameter","JP:10 EN:5 OK (-5)"
"アップ","Up","Upload","JP:6 EN:2 OK (-4)"
"ダウン","Down","Download","JP:6 EN:4 OK (-2)"
"完全燃焼","Burning","Burning Vigor","JP:8 EN:7 OK (-1)"
"チェックポイント","Checkpoint","Checkpoint","JP:16 EN:10 OK (-6)"
"太陽学園","Taiyo HS","School - Taiyo Academy","JP:8 EN:8"
"五輪高校","Gorin HS","School - Gorin High","JP:8 EN:8"
"パシフィックハイスクール","Pacific High","School - Pacific High","JP:22 EN:12"
"外道高校","Gedo HS","School - Gedo High","JP:8 EN:7"
"ジャスティス学園","Justice HS","School - Justice High","JP:16 EN:10"
"聖純Ｆ学院","Seijun F","School - Seijun Girls","JP:10 EN:8"
"好きな言葉","Fav Words","Registration - Favorite words","JP:10 EN:9"
"提出ＯＫ！","Submit!","Registration - Submit","JP:10 EN:7"
"書き直し","Rewrite","Registration - Edit","JP:8 EN:7"
"学園祭に参加する","Join Festival","Title - New game","JP:14 EN:13"
"続きから始める","Continue","Title - Continue","JP:14 EN:8"
"ボードＧａｍｅ　用名前","Board Name","Registration - Board game name","JP:18 EN:10"
"格闘Ｇａｍｅ　用名前","Fight Name","Registration - Fighting game name","JP:16 EN:10"
"カード","Card","Board game menu - Card","JP:6 EN:4 OK (-2)"
"攻撃力","ATK","Stats - Attack Power","JP:6 EN:3 OK (-3)"
"防御力","DEF","Stats - Defense Power","JP:6 EN:3 OK (-3)"
"体　力","VIT","Stats - Stamina","JP:6 EN:3 OK (-3)"
"潜在能力","POT","Stats - Potential","JP:8 EN:3 OK (-5)"
"知　力","INT","Stats - Intelligence","JP:6 EN:3 OK (-3)"
"ターン","Turn","Board game - Turn counter","JP:6 EN:4 OK (-2)"
"　攻撃力"," ATK    ","Stats display - Attack (with space)","JP:8 EN:8 EXACT"
"　防御力"," DEF    ","Stats display - Defense (with space)","JP:8 EN:8 EXACT"
"　体　力"," VIT    ","Stats display - Stamina (with spaces)","JP:8 EN:8 EXACT"
"　根　性"," GUTS   ","Stats display - Guts (with spaces)","JP:8 EN:8 EXACT"
"　潜在能力"," POTENTL  ","Stats display - Potential (with space)","JP:10 EN:10 EXACT"
"　知　力"," INT    ","Stats display - Intelligence (with spaces)","JP:8 EN:8 EXACT"
