"Japanese","English","offset"
"!p0100!e00よぉ、!0！/待ちに待った学園祭だぜ！/全力で楽しんでるか！？","","0x4748"
"!p0000!e00気合入ってるわね、バツ。/そんなに気張ってちゃ、/終わる前に燃えつきちゃうわよ？","","0x478D"
"!p0101!e00ヘッ、バカいうなよ。/このオレがそんなヤワなわけねぇだろ！","","0x47E6"
"!p0101!e00なんたって、年に一度の学園祭だからな！/燃えない方がどうかしてるぜ！","","0x482A"
"!p0101!e00オイ、!0！！/オマエも一緒にたこ焼食うか？","","0x4879"
"!p0000!e00うわ、こんなにたくさん/たこ焼ばっかり。/一体どうしたのよ？","","0x48AD"
"!p0100!e00もちろん買ったに決まってるじゃねぇか。/腹が減っては何とやらって言うからな！！","","0x48F2"
"!p0000!e00（それにしても多すぎよ……。/　バツって、ますます底無しに/　なったんじゃない……？）","","0x494A"
"!p0000!e00どう、バツ？/あなたたちのクラスは繁盛してる？","","0x49AA"
"!p0101!e00ああ、想像以上に忙しいぜ。/猫の手も借りたいぐらいだな。","","0x49E2"
"!p0000!e00へぇ、そうなんだ。/じゃあ、バツもサボったりしないで/ちゃんと頑張らないとね。","","0x4A24"
"!p0100!e00オマエに言われなくったって、/それぐらいやってやるぜ！！","","0x4A7B"
"!p0100!e00それにしても、/この学園祭に、こんなに人が来るとは/思ってなかったぜ。","","0x4ABE"
"!p0000!e00ええ、そうよね。/卒業生だけじゃなくて、/他の学校の人まで来てるらしいから。","","0x4B0D"
"!p0100!e00よぉーーっっし、負けねぇぜ！！/こうしちゃいられねぇ！/じゃあな！！","","0x4B62"
"!p0000!e00（……バツったら、/　一体ナニと勝負してるつもりなの？）","","0x4BAF"
"!p0000!e00バツって、/今は雷蔵学園長と/一緒に暮らしてるの？","","0x4BF2"
"!p0103!e00ブハッ！！/何だってんだ、突然！！","","0x4C2D"
"!p0000!e00去年の、あの騒ぎの後で/仲直りしたんでしょ？/だったら別に変じゃないわよ。","","0x4C59"
"!p0102!e00カンベンしてくれよ……只でさえ近所から/「人類には見えない父親」とか/色々言われてるんだからな。","","0x4CAC"
"!p0100!e00全く、なんであんなのが/親父なんだろうな。/オレは、ああはならねぇぜ！！","","0x4D15"
"!p0000!e00（……雷蔵学園長……、/　いつか報われる日が来る事を/　祈ってますよ……）","","0x4D66"
"!p0000!e00そういえばバツって、/よく二年生に進級できたわね。/テストで赤点たくさんもらってたのに。","","0x4DBA"
"!p0103!e00当たり前だろ！/オレがどれだけ補習に出たと思ってるんだ？/バイトもしばらく行けなかったしな！","","0x4E1B"
"!p0000!e00まぁ、それに懲りて/普段からしっかり勉強しておくのね。","","0x4E80"
"!p0103!e00ったく、どいつもこいつも/他人事だと思って好き勝手言いやがって！","","0x4EC0"
"!p0103!e00見てろよ！/卒業するまでにオマエらを/まとめて抜いてやるからな！！","","0x4F0A"
"!p0000!e00（……今年中じゃない所が妙にリアルね。/　でも、あの勢いで勉強するんだったら、/　ひょっとすると……）","","0x4F55"
"!p0100!e00しっかし、恭介の奴も真面目だよな。/こんな日ぐらい息抜きすりゃいいのによ。/調査だ見回りだって、キバりすぎだぜ。","","0x4FC5"
"!p0000!e00バツはバツで、羽目を外しすぎるし。/二人合わせればちょうどいいのにね。","","0x503E"
"!p0101!e00ったく、好き勝手言ってくれるな！/楽しむ時に思いっきり楽しめない奴は、/人生損してるようなもんだぜ！","","0x508E"
"!p0000!e00あははっ、確かに。/じゃあ私も、もう少し羽目を外しちゃお！","","0x50FB"
"!p0100!e00それにしても、/聖純のヤツらの店に来る客は、/何であんなにうるせぇんだ？","","0x5142"
"!p0000!e00それはお互い様だって。/バツだってアッチコッチで騒ぎを/起こしているくせに。","","0x5193"
"!p0101!e00心外だな。/アイツらと一緒にするなって！","","0x51E8"
"!p0000!e00（バツ……/　少しは自覚してよね……）","","0x521A"
"!pffff!e01バリバリッ、/ガッシャ〜〜〜ン！！！","","0x5251"
"!p0000!e00な、なによ今の音は！？/ものすごくイヤ〜な予感がするのは/私だけ！？","","0x527F"
"!p0000!e00……バツ！/どうしたのよ、これは！/看板がメチャクチャじゃない！","","0x52CC"
"!p0100!e00イタタタタ……いや、ちょっとな。/あんまり退屈だったんで、/ちょっと技の練習を……な。","","0x5315"
"!p0101!e00そうしたら、/ちょっとバランスを崩しちまってよ……。","","0x5374"
"!p0000!e00（しっかし……、/　それにしても見事にバラバラだわ。/　一体どうしよう？）","","0x53B2"
"!pffff!e00修理を手伝う/美術部に修理してもらう/ダッシュで逃げる！","","0x5406"
"!p0000!e00しょうがないなぁ……。/見て見ぬふりはできないし、/手伝ってあげるわよ、バツ。","","0x5448"
"!p0101!e00そうか？/すまねぇな。/じゃあサッサと済ませるか！","","0x549F"
"!pffff!e00ギリギリギリ…………/トンテンカン…………/ペタペタペタ…………","","0x54DA"
"!p0100!e00よし、完成だ！！/二人でやるとあっという間だったな！","","0x5523"
"!p0000!e00……でも、なんだか原形を/とどめてないような気がするけど。","","0x5561"
"!p0101!e00かまやしねぇって！/何が書いてあるかわかりゃオッケーだろ。/じゃ!0、サンキューな！！","","0x55A5"
"!p0000!e00（ふぅ……相変わらず、/　バツにはヒヤヒヤさせられるけど……/　ま、何とかなってよかった）","","0x5602"
"!p0000!e00でも、これを修理するのは/私たちじゃ無理だわ。","","0x5666"
"!p0000!e00素直に理由を話して、/美術部に頼んだほうがいいわよ。","","0x569E"
"!p0103!e00美術部！？/い、いや、それは……/大丈夫！　オレが何とかするぜ！","","0x56DC"
"!p3100!e00ううん、あなたには無理ね。/ここは大人しく、/私たち美術部に任せてちょうだい。","","0x5725"
"!p0103!e00ウワァッ！/こ、こずえセンパイ……/一体ドコから……？","","0x577C"
"!p3100!e00ふふふ、バツ君。/お礼はデッサンモデルでいいわよ。/次の土曜日は空けといてね。","","0x57BB"
"!p0103!e00だーっ、またかよ！！/あんな退屈なのは/もうコリゴリだぜぇっ！！！","","0x5812"
"!p0000!e00（……ま、自業自得って事ね。/　ご愁傷さま……）","","0x585D"
"!p0000!e00こうしちゃいられないわ！/サッサと逃げるわよ、バツ！！","","0x5898"
"!p0103!e00逃げる？/なに言ってんだよ、!0！/オレがそんな事するわけないだろ！？","","0x58D8"
"!p0000!e00じゃ……アナタ、/今から修理するつもり？/……これを？","","0x5925"
"!p0103!e00当たり前だ！/オレをそこらの卑怯者と/一緒にするんじゃねぇ！","","0x5964"
"!p0100!e00!0、/オマエには手伝ってもらわねぇよ。/んじゃあな！","","0x59A9"
"!p0000!e00（しまった……/　ちょっと自分が恥ずかしいわ……）","","0x59E6"
"!p0000!e00ちょっと……バツ！/そのヘンテコな白い塊は、何？","","0x5A28"
"!p0000!e00……！！/もしかしてそれは……世間一般に/「ケーキ」と呼ばれる食品なの！？","","0x5A62"
"!p0102!e00だったらどうなんだよ！/ったく、余計なお世話だぜ！！","","0x5AB5"
"!p0000!e00ま、まぁ……それがケーキかどうかは/この際どうでもいいけど、/問題は、それが売り物なのかどうかよ。","","0x5AF3"
"!p0101!e00なんでも、誰か一人が一品だけ作る/「超レアケーキ」なんだとさ！！/クジでオレが作ることになっちまってよ。","","0x5B5E"
"!p0100!e00客には、誰が作ったものか/判らないケーキが一つ出されるわけだ。/ったく、くだらねぇ事考えやがるぜ。","","0x5BCF"
"!p0000!e00（何てこと……。/　あの物体が販売されるというの……？/　…………どうしよう？）","","0x5C3A"
"!pffff!e00仕方なく見逃す/私が食べてしまう/売らないよう説得する","","0x5C94"
"!p0000!e00そっか……クラスのみんなが/決めた事なら、しょうがないわね……。","","0x5CD4"
"!p0103!e00まったく、はた迷惑な話だよな！/こんなモノ買わされる奴の事を/考えてやれってんだ！！","","0x5D1E"
"!p0000!e00（自分で言うな、自分で……）","","0x5D7B"
"!p0101!e00しかたねぇな……/じゃあオレはコイツを持っていくぜ。/それじゃな！！","","0x5DA2"
"!p0000!e00（……ああ、神さま……/　食中毒なんて悲劇が/　起きませんように……）","","0x5DEF"
"!p0000!e00（これを一般人が食べたら、/　どんな事態が訪れるか……/　仕方ない……ええい！！）","","0x5E3F"
"!p0000!e00とぉおおおおおおぉぉぉおおぉ！！！/（バクバクバクバクバク……ゴックン！）","","0x5E9A"
"!p0103!e00お、おい！　何しやがんだ！！/せっかく作ったのによ！/もう材料ねぇんだぞ！","","0x5EEE"
"!p0103!e00ったく！/クラスの奴らには、/お前から言っておけよ！！","","0x5F41"
"!p0000!e00（ウェップ…………バツ、/　アナタには悪いけど、/　やっぱりあれは売り物じゃないわ……）","","0x5F80"
"!p0000!e00バ、バツ？/そのケーキが売られる事について、/アナタはどう思ってるの？","","0x5FE2"
"!p0000!e00もしそれを食べたお客が/お腹を壊したりしたら、/周りの祭り気分も吹っ飛んじゃうわよ？","","0x6031"
"!p0102!e00そうはいってもよぉ……/作らねぇ訳にはいかねぇだろうが？","","0x608E"
"!p0000!e00……仕方ないわね。/私が替りのモノを作ってあげるから、/それを持っていって。","","0x60D0"
"!p0100!e00マジか？/!0、/オマエってケーキ作れるのか？","","0x6125"
"!p0000!e00バカにしないでよ……少なくとも、/ソレよりはマシなものができるわよ。/……じゃ、始めるわよ。","","0x615A"
"!p0000!e00ええええぇぇぇいいいい！！","","0x61BF"
"!p0000!e00ハァハァ……よし、完成よ！/これを持っていくのよ。","","0x61E4"
"!p0101!e00すまねぇな、!0！/これでくだらねぇ恥かかずにすんだぜ！/サンキュー！！","","0x6220"
"!p0000!e00（ふぅ……この学園祭、/　最大の危機が去ったのかもしれない……）","","0x626F"
"!p0000!e00はぁい、バツ！/……あ、お母さんも/ご一緒だったんですか。","","0x62BF"
"!p0103!e00よぉ、!0！/オマエからもいってくれよ！/母さんがうるさくてよ！","","0x6302"
"!p2600!e00あら、バツ。あなたが自分のお店を/抜け出そうとするから、/それを止めるようにいってるだけですよ。","","0x6349"
"!p0103!e00だから！　購買部の方が/ムチャクチャ忙しそうだったから、/手伝いに行こうと思ったんじゃねぇか！","","0x63B2"
"!p0000!e00（なるほど……/　バツはお母さんを/　手伝いに行こうとしてたのか……）","","0x6419"
"!p0000!e00（……どうしよう？/　クラスの方を手伝わせるか、/　それとも……）","","0x6468"
"!pffff!e00バツを手伝いに行かせる/一緒に手伝いに行く/クラスに連れ戻す","","0x64B4"
"!p0000!e00じゃ、バツは/お母さんを手伝ってあげたら？/クラスの方は私が何とかしておくから。","","0x64FA"
"!p2600!e00いけませんよ、!0さん。/私事であなたに/迷惑をかける事はできません。","","0x6553"
"!p2600!e00バツ、あなたもいいかげんにしなさい。/あなたのわがままのせいで、/他の人に迷惑がかかってるのですよ。","","0x65A0"
"!p0101!e00いいじゃねぇか！/!0もああ言ってるんだし。","","0x660D"
"!p2600!e00バツ……/いいかげんにしなさい、と/言ったはずだけど、聞こえなかったの？","","0x6641"
"!p0102!e00い、いや……/きこえた……けど。","","0x6692"
"!p2600!e00なら、どうすればいいか考えなさい。/……!0さん、/騒がしくしてごめんなさいね。","","0x66BC"
"!p0000!e00（さすがはバツのお母さんだわ……/　それにしてもバツ、/　スゴい落ち込みようね……）","","0x6713"
"!p0000!e00じゃ、私もバツと一緒に行きます！/是非とも手伝わせて下さい！","","0x6771"
"!p0101!e00ホントか！？/よぉし、じゃあ二人で頑張ろうぜ！","","0x67B7"
"!p2600!e00全くもう……/言い出したら聞かないんだから。","","0x67EF"
"!p2600!e00二人とも。/後でお友達に/ちゃんと謝っておくんですよ？","","0x6825"
"!p0101!e00ああ、わかってるって！","","0x6864"
"!p0000!e00（素直に喜んでいるバツの顔を見てると、/　こっちまで嬉しくなってくるわ……）","","0x6885"
"!p0000!e00バツ、おばさんのいう通りだって。/とりあえずクラスの方に/戻った方がいいわよ。","","0x68DC"
"!p2600!e00そうですよ、バツ。/私の方は大丈夫だから、/お友達を手伝ってらっしゃい。","","0x6933"
"!p0102!e00……わかったよ。/そこまで言うんなら、一旦戻る。/だけど、あんまり無理すんなよ？","","0x6984"
"!p2600!e00これでも忌野一族頭領の妻ですよ？/そう簡単にへこたれるような事は/ありません。","","0x69DD"
"!p0000!e00（さすが……静かな迫力を感じるわ。/　バツも納得せざるをえないわね）","","0x6A34"
"!p0100!e00よう、!0！！/ちょっと頼まれてくれねぇか？","","0x6A88"
"!p0101!e00この進路調査書を、/進路指導室に持っていって欲しいんだ。","","0x6ABC"
"!p0000!e00そんなもの、自分で持って行きなさいよ。/そもそも、どうして/今日みたいな日に提出するのよ。","","0x6AFE"
"!p0103!e00こないだからず〜っと忘れててよ。/今日持ってこなかったら、/学園祭に参加させねぇとか言いやがってな。","","0x6B61"
"!p0000!e00ははぁ……なるほど。/で、自分では持っていきにくい、と。/しょうがないわね……わかったわ。","","0x6BCE"
"!p0101!e00サンキュー！/恩に着るぜ、!0！！","","0x6C31"
"!p0000!e00はい、バツ。/ちゃんと届けておいたわよ。","","0x6C5C"
"!p0101!e00おっ、ありがとうよ！/この借りはその内に返すぜ！！","","0x6C8E"
"!p0100!e00なんだ!0、/今はヒマなのか？","","0x6CD1"
"!p0000!e00ちょっと、言ってくれるわね。/そういうアナタはどうなの、バツ？","","0x6CF7"
"!p0101!e00オレも今はする事が無くてよ。/そうだ、しばらく俺につきあえよ。/一人で歩き回っても面白くねぇんだよ。","","0x6D3F"
"!p0000!e00まぁ、そうかもしれないわね。/それじゃ、しばらくの間/つきあってあげるわ。","","0x6DAC"
"!p0100!e00いっけね！！/そういや買い出しを頼まれてたんだった！/じゃ、また一緒に動こうぜ！！","","0x6E00"
"!p0000!e00バツ！/私にアナタのツープラトン技を/教えてちょうだい！","","0x6E62"
"!p0100!e00!0……本気だな？/生半可な気持ちじゃ大怪我するぜ！","","0x6EA3"
"!p0000!e00判ってる。/それぐらいのつもりでなけりゃ、/こんな事は頼まないわよ。","","0x6EDF"
