"japanese","english","context","notes"
"（エッジのヤツ……。/　でも、売れ残ったらどうしよう？/　手伝ってやればよかったかな……）","(...Edge…/but what if they don't sell? /should have helped …)","Portrait: !p0000!e00",""
"（エッジもいろいろ考えてるんだ……）","(...Edge is thinking too...)","Portrait: !p0000!e00",""
"（エッジもいろいろ考えてるんだ。/　私もがんばらなきゃ……）","(...Edge is thinking too./I need to work hard…)","Portrait: !p0000!e00",""
"（エッジもいろいろ考えてるんだな……）","(...Edge is thinking too...)","Portrait: !p0000!e00",""
"（エッジもいろいろ考えてるんだな。/　俺もがんばらないとな……）","(...Edge is thinking too./I need to work hard…)","Portrait: !p0000!e00",""
"（ククク……。/　化け猫っていうより、/　それは、タヌキのお面に見えるよ……）","(...hehehe…/rather than cat monster,/looks like a tanuki mask …)","Portrait: !p0000!e00",""
"（クスクス……、/　ホントは怖いくせに……）","(...hehehe…/really scared though …)","Portrait: !p0000!e00",""
"（クスクス……、照れてる照れてる）","(...hehehe… so embarrassed)","Portrait: !p0000!e00",""
"（クスクス……。/　からかい甲斐があるわね、/　ランちゃんは……）","(...hehehe…/fun to tease,/Ran-chan …)","Portrait: !p0000!e00",""
"（クスクス……。/　スケ番ザキもフリルのエプロンが/　相手じゃあ、形無しみたいね）","(...hehehe…/delinquent Zaki vs frilly apron,/no match)","Portrait: !p0000!e00",""
"（クスクス……。/　今まで寝てたくせに……）","(...hehehe…/was sleeping until now …)","Portrait: !p0000!e00",""
"（クスクス……。/　化け猫っていうより、/　それは、タヌキのお面に見えるよ……）","(...hehehe…/rather than cat monster,/looks like a tanuki mask …)","Portrait: !p0000!e00",""
"（クスクス……）","(...hehehe…)","Portrait: !p0000!e00",""
"（グハッ！　あばらが……、あばらが……。/　そ、そんなに怒らなくても/　いいんじゃないかな……）","(...ugh! ribs… ribs…/d-don't need to get,/that angry …)","Portrait: !p0000!e00",""
"（ゲゲッ！　ま、まさに大盛り……/　これって、俺がいま食べ切るのかな？/　お持ち帰り用とかじゃなくて……）","(...geh! r-really large.../do I eat this all now?/not takeout...)","Portrait: !p0000!e00",""
"（ゲゲッ！　ま、まさに大盛り……/　これって、私がいま食べ切るのかな？/　お持ち帰り用とかじゃなくて……）","(...geh! r-really large.../do I eat this all now?/not takeout...)","Portrait: !p0000!e00",""
"（コスチュームか……/　どんなコンテストかよく知らないし。/　……こうなったら）","(...costume.../don't know what contest,/…in that case)","Portrait: !p0000!e00",""
