"japanese","english","context","notes"
"!0……/せっかく誉めてくれるところをすまないが、/もう止めてくれないか？","","Portrait: !p0303!e00",""
"!0……/キモチは嬉しいけど、/やっぱりパパを見捨てられまセン……","","Portrait: !p0803!e00",""
"!0……/今からキミに聴いてほしい曲がある。","","Portrait: !p0302!e00",""
"!0……/俺を目標になんざ、するんじゃねぇ！/……いいか！！","","Portrait: !p2000!e00",""
"!0……/僕たちの店には行ったかい？","","Portrait: !p0303!e00",""
"!0……/嬉しいコト言ってくれるじゃねぇか。/その言葉、何よりのねぎらいになるぜ。","","Portrait: !p2002!e00",""
"!0……/少し時間をもらうぞ。","","Portrait: !p1600!e00",""
"!0……/日本にまた来て、/ホントにヨカッタよ！！","","Portrait: !p0802!e00",""
"!0……/遅かったデスね。","","Portrait: !p0803!e00",""
"!0……。/……髪がとんがってるからは、/余計だ。","","Portrait: !p0400!e00",""
"!0……。/あんまり失礼こいてると……、/いろんなことして、泣かすわよ……。","","Portrait: !p2103!e00",""
"!0……。/どうせなら真面目に考えてくれ。/茶化してもらう為に話したんじゃないぞ。","","Portrait: !p0303!e00",""
"!0……。/ならば、ついて来てくれるか……？","","Portrait: !p1900!e00",""
"!0……。/なんかオマエと話してると、/気が落ち着くな。","","Portrait: !p0401!e00",""
"!0……。/オマエってヤツは……。","","Portrait: !p1002!e00",""
"!0……。/君を待っていたのです。","","Portrait: !p0902!e00",""
"!0……あなたはもう一度、/よく考え直してみるべきだと思います。/……それでは失礼。","","Portrait: !p0903!e00",""
"!0……ありがとう。/これで私の、/唯一の心残りが無くなりました。","","Portrait: !p0902!e00",""
"!0……お疲れ様でした。","","Portrait: !p0900!e00",""
"!0……オマエは、/卒業したら何になるつもりなんだ？","","Portrait: !p0103!e00",""
"!0……本気だな？/生半可な気持ちじゃ大怪我するぜ！","","Portrait: !p0100!e00",""
"!0……私って、/子供っぽいよね？","","Portrait: !p0203!e00",""
"!0……私は……","","Portrait: !p0900!e00",""
"!0……貴様の目は、/ただ物を写すだけのガラス球のようだな。/……これ以上、貴様と話す事はない！","","Portrait: !p1603!e00",""
"!0……遅い！","","Portrait: !p1603!e00",""
"!0、/アンタ、行ってくれるかい？","","Portrait: !p2300!e00",""
"!0、/オマエがそんなコトいうなんて、/思わなかったぜ！　ヘン！！","","Portrait: !p0403!e00",""
"!0、/オマエには手伝ってもらわねぇよ。/んじゃあな！","","Portrait: !p0100!e00",""
"!0、/今日はちょっと、/いい知らせがあるんだ。","","Portrait: !p0600!e00",""
"!0、/少し頼まれてくれないか？","","Portrait: !p0300!e00",""
"!0、いるんだろ？/もう出てきてもいいぞ。","","Portrait: !p2300!e00",""
"!0、お疲れさん。/どうしたんだ、元気ないな。","","Portrait: !p0400!e00",""
"!0、オマエ……","","Portrait: !p2000!e00",""
"!0、オレさ！/決めたぜ！/今、決めた！","","Portrait: !p1000!e00",""
"!0、ダンスの間も/ミーの側をゼッタイ離れないでください！/一生の約束ネ！！","","Portrait: !p0802!e00",""
"!0、頑張ってくるわね！","","Portrait: !p0501!e00",""
"!0。/それは聞かない方がキミのためだ。/じゃ、この埋め合わせはいずれ。","","Portrait: !p0303!e00",""
"!0。/待っていたぞ。","","Portrait: !p1900!e00",""
"!0。/見事な活躍だったな。","","Portrait: !p1901!e00",""
"!0。キミに質問がある。/ボクは、もうすぐ仕事でここを/離れなければいけない。","","Portrait: !p0700!e00",""
"!0〜、/ちょっと助けてくれ〜。","","Portrait: !p0400!e00",""
"!0か……。/少し考え事があってな。","","Portrait: !p1900!e00",""
"!0か……あの生徒たちの顔だ。/私が「能力」で支配した生徒たちとは違い、/馬鹿馬鹿しいほどの活気に満ちている。","","Portrait: !p1600!e00",""
"!0か。/グラウンドに射撃場があるって/聞いたんだが、こっちでいいのかな。","","Portrait: !p0700!e00",""
"!0が!1に/戦闘をしかけた！","","Portrait: !pffff!e00",""
"!0が!c05パートナー!c07になった！","","Portrait: !pffff!e00",""
"!0が/!1に勝った！","","Portrait: !pffff!e00",""
"!0がいるからやらない！/ついてきちゃダメだからね！/じゃあね！","","Portrait: !p1102!e00",""
"!0がいれば、/ワシは、何だってできる男に/なってみせるぞい！！","","Portrait: !p1201!e00",""
"!0こそ……/ずいぶんと元気がないように/見受けられますが？","","Portrait: !p0900!e00",""
"!0さん……/「真剣な」恋愛を何度もしなさい。/何度も恋して、何度も別れて……","","Portrait: !p1400!e00",""
"!0さん……/そこまでにしておきましょう。/それ以上、口にしないで。","","Portrait: !p1403!e00",""
"!0さん……/どうしたの、急に。","","Portrait: !p1402!e00",""
"!0さん……/私、あなたと知り合えて/本当に良かった……。","","Portrait: !p1802!e00",""
"!0さん……、/九郎と仲良くしてやってくださいね。/あなたのような方といれば、九郎も……。","","Portrait: !p2503!e00",""
"!0さん……。","","Portrait: !p1200!e00",""
"!0さん……。/お待ちしていました。","","Portrait: !p2503!e00",""
"!0さん……。/どうして、私にお構いになるんですか？","","Portrait: !p2503!e00",""
"!0さん……。/ひなたさんって、器用よねぇ……。","","Portrait: !p1800!e00",""
"!0さん……ありがとう。/そうよね……私らしくやれば、/それでいいのよね。","","Portrait: !p1802!e00",""
"!0さん……ええ、ちょっとね。","","Portrait: !p1403!e00",""
"!0さん……お疲れ様。","","Portrait: !p1400!e00",""
"!0さん……そうね。/一人で愚痴ってるだけじゃ、/上達するはずがないものね。","","Portrait: !p1400!e00",""
"!0さん、/『ＣＡＰＣＯＭ　ＶＳ．ＳＮＫ』っていう/格闘大会があったの知ってる？","","Portrait: !p1800!e00",""
