"japanese","english","context","notes"
"それが例のフリフリエプロンね……。/確かに、ちょっとスゴイわね……。","That's the famous frilly apron…  /It's really something...","Portrait: !p0000!e00",""
"それぐらい、わかっとるわい！/じゃが、そう考えると/金魚すくいは、つまらんのう……。","I know that much! /But thinking about it, /goldfish scooping is boring...","Portrait: !p1203!e00",""
"それさえ克服できれば、/今すぐにでも使いこなせると思うわよ。/頑張ってね！","If you overcome that, /you can master it right away.  /Do your best!","Portrait: !p1801!e00",""
"それじゃ……ね。/!0君……。","Well then...  /  !0...","Portrait: !p1301!e00",""
"それじゃ、/まずは私があなたに整体術を施すから、/身体で憶えてちょうだい。","Well then,  /first I'll perform bodywork on you, so /remember it with your body.","Portrait: !p1401!e00",""
"それじゃ、お願いします。","Well then, please do.","Portrait: !p1301!e00",""
"それじゃ、ボクはもういくぜ。/また後でな。","Well then, I'm going now. /See you later.","Portrait: !p0700!e00",""
"それじゃ、マタね。/!0……","Well then, see you. /  !0...","Portrait: !p0803!e00",""
"それじゃ、手分けして集めちゃおう。/その方が早く終わるだろうし。/なんなら、競争してみよっか？","Let's split up and collect them.  /That'll finish faster. /Wanna compete?","Portrait: !p0000!e00",""
"それじゃ、手分けして集めよう。/その方が早く終わるだろうし。/なんなら、競争してみよっか？","Let's split up and collect them.  /That'll finish faster. /Wanna compete?","Portrait: !p0000!e00",""
"それじゃあ……","Well then...","Portrait: !p0000!e00",""
"それじゃあ、!0/ありがとねっ！","Well then,  !0, thanks!","Portrait: !p2101!e00",""
"それじゃあ、/また、キーパーができるな！","Well then,  /I can be keeper again !","Portrait: !p0000!e00",""
"それじゃあ、/また、キーパーができるね！","Well then,  /I can be keeper again !","Portrait: !p0000!e00",""
"それじゃあ、/通院に使ってた時間は/俺と遊ぶために使えるな！","Then the time spent at the hospital /can be used to play with me !","Portrait: !p0000!e00",""
"それじゃあ、/通院に使ってた時間は/私と遊ぶために使えるね！","Then the time spent at the hospital /can be used to play with me !","Portrait: !p0000!e00",""
"それじゃあ、また会いましょ！","Well then, see you again!","Portrait: !p1801!e00",""
"それじゃあ、仕方ないな……。/気が変わったら、また来なさい。","Can't be helped...  /If you change your mind, come again.","Portrait: !p3402!e00",""
"それじゃあな、!0！/よかったら後で店に来いや！！","See ya, !0! /Come to the shop later!","Portrait: !p2001!e00",""
"それじゃ寂しいよな。/よし、判った。/俺と一緒に回ろうぜ。","That'd be lonely. /Alright, got it. /Let's go around together.","Portrait: !p0000!e00",""
"それじゃ寂しいわね。/うん、判ったわ。/私と一緒に回ろう。","That'd be lonely. /Yeah, got it.  /Let's go around together.","Portrait: !p0000!e00",""
"それだけの体格と力って/望んでも手に入らないものじゃない？","That physique and strength  /can't be obtained just by wishing, right?","Portrait: !p0000!e00",""
"それだけの体格と力って/望んでも手に入らないものだ。","That physique and strength  /can't be obtained just by wishing.","Portrait: !p0000!e00",""
"それだ！！/この学園祭には覇気が足りねぇ！！/わかってるじゃねぇか、!0！","That's it ! ! /This festival lacks spirit! !  /You know that,  !0!","Portrait: !p2000!e00",""
"それって、/全部男の子が好きなこと/ばっかりじゃないの？","That's all, /things boys like, right?","Portrait: !p0503!e00",""
"それって、ひなたの弟か？","Is that Hinata's brother?","Portrait: !p0000!e00",""
"それって、ひなたの弟？","Is that Hinata's brother?","Portrait: !p0000!e00",""
"それって、プロレス大会？","Is that pro wrestling?","Portrait: !p0000!e00",""
"それって、売れ残ったら、/一緒にキャンプファイアーに/行けないってことだろ……。","If they don't sell, /we can't go to the campfire together ...","Portrait: !p0000!e00",""
"それって、射的ゲーム？","Is that shooting game?","Portrait: !p0000!e00",""
"それって、金魚すくい？","Is that goldfish scooping?","Portrait: !p0000!e00",""
"それって、１人はバット、/もう１人はラケットを持ってる/２人づれか？","Is that a couple where one has a bat, /and the other has a racket?","Portrait: !p0000!e00",""
"それって、１人はバット、/もう１人はラケットを持ってる/２人づれのこと？","Is that a couple where one has a bat, /and the other has a racket?","Portrait: !p0000!e00",""
"それで、ミーは/どんな格好していけばいいデスか？/アドバイスしてクダサ〜イ！","So what should Mee, /wear?  /Please advise !","Portrait: !p0800!e00",""
"それで、先生方にも品物提供を/協力していただこうと考えたのですが、/誰にお願いしたらよいでしょうか？","So I was thinking of asking teachers to,  /help provide items, but, /who should I ask?","Portrait: !p0900!e00",""
"それで、結論は出たの？","So, did you decide?","Portrait: !p0000!e00",""
"それでいいんですよ。/僕にとっては、好都合ですからね。/それでは先輩、ありがとうございました。","That's fine.  /It's convenient for me.  /Well then, senpai, thank you.","Portrait: !p1500!e00",""
"それでは、これからゲーム開始よ。/みんながんばってね！","Well then, the game starts now. /Everyone do your best !","Portrait: !p1800!e00",""
"それとも、直前になって/逃げ出さなきゃならないくらい、/いい加減に練習してたのか？","Or were you practicing so half-heartedly  /that you had to run at the last minute?","Portrait: !p0000!e00",""
"それとも、直前になって/逃げ出さなきゃならないくらい、/いい加減に練習してたの？","Or were you practicing so half-heartedly  /that you had to run at the last minute?","Portrait: !p0000!e00",""
"それなら、/俺、キャンプファイアーに/行きたいです！","In that case, /I want to go to the campfire!","Portrait: !p0000!e00",""
"それなら、/私、キャンプファイアーに/行きたいです！","In that case, /I want to go to the campfire!","Portrait: !p0000!e00",""
"それなら、考えてもいいよ。","In that case, I'll consider it.","Portrait: !p0000!e00",""
"それに……、/似合ってるモノね、/将馬と夏って。","Plus…  /they look good together, /Shoma and Natsu.","Portrait: !p0000!e00",""
"それに……、お前の場合/なんかお似合いだからな。/……将馬と夏ってさ。","Plus…  /they suit you. /…Shoma and Natsu.","Portrait: !p0000!e00",""
