"japanese","english","context","notes"
"さて、冗談はさておき、/ここからはマジメな話だ。","Now then, jokes aside,/let's get serious.","Portrait: !p0700!e00",""
"は〜い、ここまで！/今日は東京ゲームショウバージョンだから、/ここで終了よ。続きは製品版でね!h","Okay, that's all!/This is the Tokyo Game Show version,/so we end here. See you in the full game !h","Portrait: !p1800!e00",""
"…………","......","Portrait: !p0203!e00",""
"？","?","Portrait: !p0000!e00",""
"♪〜〜♪〜〜♪♪〜〜〜/♪〜♪♪〜〜〜〜♪♪♪〜〜♪〜♪〜","♪〜〜♪〜〜♪♪〜〜〜/♪〜♪♪〜〜〜〜♪♪♪〜〜♪〜♪〜","Portrait: !pffff!e00",""
"!0……。","!0...","Portrait: !p0400!e00",""
"…………。",".........","Portrait: !p0502!e00",""
"…………！！","........！！","Portrait: !p0000!e00",""
"！！/…………。","！！/.........","Portrait: !p1803!e00",""
"……………………。","..............","Portrait: !p2102!e00",""
"校舎裏にいる野良猫に/エサでもやろうと思ってね。","I was gonna feed the /stray cat out back.","Portrait: !p2300!e00",""
"!0　!c05＋２００!c07ポイント/!1　　!c05＋７５!c07ポイント","!0　!c05+200 !c07points/!1　　!c05+75 !c07points","Portrait: !p1801!e00",""
"!2　　　!c05＋８!c07ポイント","!2　　　!c05+8 !c07points","Portrait: !p1801!e00",""
"!2　　　!c05＋８!c07ポイント/!3　　　!c05＋２!c07ポイント","!2　　　!c05+8 !c07points/!3　　　!c05+2 !c07points","Portrait: !p1801!e00",""
"!0！！","!0！！","Portrait: !p1202!e00",""
"!0　ＶＳ．!1","!0　ＶＳ．!1","Portrait: !pffff!e00",""
"　","　","Portrait: !pffff!e00",""
"　　　　これで「燃えろ！　熱血青春日記」/　　　東京ゲームショウバージョンは終了です。/　　　　　　　製品版をお楽しみに！","　　　　The Tokyo Game Show Version of/'Burn, Hot-Blooded Youth Diary!' is now over! /See you in the final version!","Portrait: !pffff!e00",""
