"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"それをつけ狙ってたら、/さすがに、男として/ダメになりそうでさ。","If I kept pursuing that, /I'd fail as a man.","Portrait: !p1003!e00","","62","46","0"
"それはよかったですね！/やっぱり友達ってステキだと思いますよ！","That's good! /Friends are wonderful!","Portrait: !p0000!e00","","51","37","0"
"それよりも、やるべきことをやるしか/ないんじゃないかな？","More than that, shouldn't we just /do what we need to do?","Portrait: !p0000!e00","","52","52","0"
"それよりも、今日はレッスン日だからね。/早く行かないと！","More importantly, today is lesson day. /Gotta go fast!","Portrait: !p0000!e00","","50","50","0"
"それより今日は、学園祭の準備で/大変だっただろう？","More importantly, /festival prep was tough today, right?","Portrait: !p0000!e00","","45","45","0"
"それより俺は、/今日一緒に遊んでくれる相手を/探さないと！","More importantly, /I need to find someone /to hang out with today!","Portrait: !p0000!e00","","56","56","0"
"それより、今日のイベントを楽しみなさい。/せっかく恋人が出来たっていうのに……。","Enjoy today's events. /You finally got a girlfriend...","Portrait: !p0000!e00","","68","52","0"
"それより!0ちゃん、/ケーキはいかが？","!0-chan, /how about some cake?","Portrait: !p0200!e00","","35","27","0"
"それより私は、/今日一緒に遊んでくれる相手を/探さないと！","More importantly, /I need to find someone /to hang out with today!","Portrait: !p0000!e00","","56","56","0"
"それより、来月にはインターハイ予選が/始まるっていうのに大丈夫か？","More importantly, Inter-High prelims /start next month. You okay?","Portrait: !p0000!e00","","60","60","0"
"それより!0、/ケーキはいかがかな？","!0, /how about some cake?","Portrait: !p0200!e00","","33","25","0"
"それより、どこの大学を狙っているんだ？/目標が決まれば、/それに向かって頑張れるだろ。","Which university are you aiming for? /Once you decide, /you can work toward it.","Portrait: !p0000!e00","","88","78","0"
"それより、今日のイベントを楽しめ。/せっかく恋人が出来たっていうのにな……。","Enjoy today's events. /You finally got a girlfriend...","Portrait: !p0000!e00","","68","52","0"
"それは失礼しました。/実は、ヒナタさんの下駄が/もの凄い飛距離だったので……。","Sorry about that. /Hinata-san's geta /flew an amazing distance...","Portrait: !p2501!e00","","74","62","0"
"それを聞きたかったの！　先輩。/待ってて……/もうちょっとでこの仕事片付くから。","I wanted to hear that, senpai! /Wait... /I'll finish this work soon.","Portrait: !p1501!e00","","74","68","0"
"それを聞きたかったわ！　先輩。/待ってて……/もうちょっとでこの仕事片付くから。","I wanted to hear that, senpai! /Wait... /I'll finish this work soon.","Portrait: !p1501!e00","","74","68","0"
"それを口にするのはどうかと思いますが、/まぁ、ゆるしてあげましょう。","Saying that is questionable, /but I'll forgive you.","Portrait: !p0901!e00","","64","51","0"
"そんなの、なんだかもったいないって/思わない？","Don't you think /that's a waste?","Portrait: !p0000!e00","","39","32","0"
